Id,MSSubClass,MSZoning,LotArea,Street,Utilities,BldgType,OverallQual,OverallCond,BsmtQual,YearBuilt,ExterQual,ExterCond,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,GarageCars,GarageCond,SalePrice
44,20,RL,9200,Pave,AllPub,1Fam,5,6,Gd,1975,TA,TA,938.0,GasA,938,0,1.0,TA,130250.0
45,20,RL,7945,Pave,AllPub,1Fam,5,6,TA,1959,TA,TA,1150.0,GasA,1150,0,1.0,TA,141000.0
46,120,RL,7658,Pave,AllPub,TwnhsE,9,5,Ex,2005,Ex,TA,1752.0,GasA,1752,0,2.0,TA,319900.0
47,50,RL,12822,Pave,AllPub,1Fam,7,5,Ex,2003,Gd,TA,1434.0,GasA,1518,631,2.0,TA,239686.0
48,20,FV,11096,Pave,AllPub,1Fam,8,5,Gd,2006,Gd,TA,1656.0,GasA,1656,0,3.0,TA,249700.0
49,190,RM,4456,Pave,AllPub,2fmCon,4,5,TA,1920,TA,TA,736.0,GasA,736,716,0.0,,113000.0
50,20,RL,7742,Pave,AllPub,1Fam,5,7,TA,1966,TA,TA,955.0,GasA,955,0,1.0,TA,127000.0
51,60,RL,13869,Pave,AllPub,1Fam,6,6,Gd,1997,TA,TA,794.0,GasA,794,676,2.0,TA,177000.0
52,50,RM,6240,Pave,AllPub,1Fam,6,6,TA,1934,TA,TA,816.0,GasA,816,0,2.0,TA,114500.0
53,90,RM,8472,Grvl,AllPub,Duplex,5,5,Gd,1963,Fa,TA,816.0,GasA,816,0,2.0,TA,110000.0
54,20,RL,50271,Pave,AllPub,1Fam,9,5,Ex,1981,Gd,TA,1842.0,GasA,1842,0,3.0,TA,385000.0
55,80,RL,7134,Pave,AllPub,1Fam,5,5,TA,1955,TA,TA,384.0,GasA,1360,0,2.0,TA,130000.0
56,20,RL,10175,Pave,AllPub,1Fam,6,5,TA,1964,TA,TA,1425.0,GasA,1425,0,2.0,TA,180500.0
57,160,FV,2645,Pave,AllPub,Twnhs,8,5,Gd,1999,Gd,TA,970.0,GasA,983,756,2.0,TA,172500.0
58,60,RL,11645,Pave,AllPub,1Fam,7,5,Gd,2004,Gd,TA,860.0,GasA,860,860,2.0,TA,196500.0
59,60,RL,13682,Pave,AllPub,1Fam,10,5,Ex,2006,Ex,TA,1410.0,GasA,1426,1519,3.0,TA,438780.0
60,20,RL,7200,Pave,AllPub,1Fam,5,7,TA,1972,TA,TA,780.0,GasA,780,0,1.0,TA,124900.0
61,20,RL,13072,Pave,AllPub,1Fam,6,5,Gd,2004,TA,TA,1158.0,GasA,1158,0,2.0,TA,158000.0
62,75,RM,7200,Pave,AllPub,1Fam,5,7,TA,1920,TA,TA,530.0,GasA,581,530,1.0,TA,101000.0
63,120,RL,6442,Pave,AllPub,TwnhsE,8,5,Gd,2006,Gd,TA,1370.0,GasA,1370,0,2.0,TA,202500.0
64,70,RM,10300,Pave,AllPub,1Fam,7,6,TA,1921,TA,TA,576.0,GasA,902,808,2.0,TA,140000.0
65,60,RL,9375,Pave,AllPub,1Fam,7,5,Gd,1997,TA,TA,1057.0,GasA,1057,977,2.0,TA,219500.0
66,60,RL,9591,Pave,AllPub,1Fam,8,5,Ex,2004,Gd,TA,1143.0,GasA,1143,1330,3.0,TA,317000.0
67,20,RL,19900,Pave,AllPub,1Fam,7,5,Gd,1970,TA,TA,1947.0,GasA,2207,0,2.0,TA,180000.0
68,20,RL,10665,Pave,AllPub,1Fam,7,5,Gd,2003,Gd,TA,1453.0,GasA,1479,0,2.0,TA,226000.0
69,30,RM,4608,Pave,AllPub,1Fam,4,6,TA,1945,TA,Gd,747.0,GasA,747,0,1.0,TA,80000.0
70,50,RL,15593,Pave,AllPub,1Fam,7,4,TA,1953,Gd,TA,1304.0,GasW,1304,983,2.0,TA,225000.0
71,20,RL,13651,Pave,AllPub,1Fam,7,6,Gd,1973,TA,Gd,2223.0,GasA,2223,0,2.0,TA,244000.0
72,20,RL,7599,Pave,AllPub,1Fam,4,6,TA,1982,TA,TA,845.0,GasA,845,0,2.0,TA,129500.0
73,60,RL,10141,Pave,AllPub,1Fam,7,5,Gd,1998,TA,TA,832.0,GasA,885,833,2.0,TA,185000.0
74,20,RL,10200,Pave,AllPub,1Fam,5,7,TA,1954,TA,TA,1086.0,GasA,1086,0,2.0,TA,144900.0
75,50,RM,5790,Pave,AllPub,1Fam,3,6,Fa,1915,Gd,Gd,840.0,GasA,840,765,1.0,TA,107400.0
76,180,RM,1596,Pave,AllPub,Twnhs,4,5,Gd,1973,TA,TA,462.0,GasA,526,462,1.0,TA,91000.0
77,20,RL,8475,Pave,AllPub,1Fam,4,7,TA,1956,TA,TA,952.0,GasA,952,0,1.0,TA,135750.0
78,50,RM,8635,Pave,AllPub,1Fam,5,5,TA,1948,TA,TA,672.0,GasA,1072,213,1.0,TA,127000.0
79,90,RL,10778,Pave,AllPub,Duplex,4,5,TA,1968,TA,TA,1768.0,GasA,1768,0,0.0,,136500.0
80,50,RM,10440,Pave,AllPub,1Fam,5,6,TA,1910,TA,TA,440.0,GasA,682,548,2.0,TA,110000.0
81,60,RL,13000,Pave,AllPub,1Fam,6,6,Gd,1968,TA,Gd,896.0,GasA,1182,960,1.0,TA,193500.0
82,120,RM,4500,Pave,AllPub,TwnhsE,6,5,Ex,1998,TA,Gd,1237.0,GasA,1337,0,2.0,TA,153500.0
83,20,RL,10206,Pave,AllPub,1Fam,8,5,Gd,2007,TA,TA,1563.0,GasA,1563,0,3.0,TA,245000.0
84,20,RL,8892,Pave,AllPub,1Fam,5,5,TA,1960,TA,TA,1065.0,GasA,1065,0,2.0,TA,126500.0
85,80,RL,8530,Pave,AllPub,1Fam,7,5,Gd,1995,TA,TA,384.0,GasA,804,670,2.0,TA,168500.0
86,60,RL,16059,Pave,AllPub,1Fam,8,5,Gd,1991,Gd,TA,1288.0,GasA,1301,1116,2.0,TA,260000.0
87,60,RL,11911,Pave,AllPub,1Fam,6,5,Gd,2005,Gd,TA,684.0,GasA,684,876,2.0,TA,174000.0
88,160,FV,3951,Pave,AllPub,TwnhsE,6,5,Gd,2009,Gd,TA,612.0,GasA,612,612,2.0,TA,164500.0
89,50,C (all),8470,Pave,AllPub,1Fam,3,2,TA,1915,Fa,Fa,1013.0,GasA,1013,0,0.0,,85000.0
90,20,RL,8070,Pave,AllPub,1Fam,4,5,Gd,1994,TA,TA,990.0,GasA,990,0,0.0,,123600.0
91,20,RL,7200,Pave,AllPub,1Fam,4,5,,1950,TA,TA,0.0,GasA,1040,0,2.0,TA,109900.0
92,20,RL,8500,Pave,AllPub,1Fam,5,3,TA,1961,TA,TA,1235.0,GasA,1235,0,2.0,TA,98600.0
93,30,RL,13360,Pave,AllPub,1Fam,5,7,Gd,1921,TA,Gd,876.0,GasA,964,0,2.0,TA,163500.0
94,190,C (all),7200,Pave,AllPub,2fmCon,6,6,TA,1910,TA,TA,1214.0,GasW,1260,1031,2.0,TA,133900.0
95,60,RL,9337,Pave,AllPub,1Fam,6,5,Gd,1997,TA,Gd,824.0,GasA,905,881,2.0,TA,204750.0
96,60,RL,9765,Pave,AllPub,1Fam,6,8,Gd,1993,Ex,Gd,680.0,GasA,680,790,2.0,TA,185000.0
97,20,RL,10264,Pave,AllPub,1Fam,7,5,Gd,1999,Gd,TA,1588.0,GasA,1588,0,2.0,TA,214000.0
98,20,RL,10921,Pave,AllPub,1Fam,4,5,TA,1965,TA,TA,960.0,GasA,960,0,1.0,TA,94750.0
99,30,RL,10625,Pave,AllPub,1Fam,5,5,TA,1920,TA,TA,458.0,GasA,835,0,1.0,TA,83000.0
100,20,RL,9320,Pave,AllPub,1Fam,4,5,TA,1959,TA,TA,950.0,GasA,1225,0,0.0,,128950.0
101,20,RL,10603,Pave,AllPub,1Fam,6,7,TA,1977,TA,TA,1610.0,GasA,1610,0,2.0,TA,205000.0
102,60,RL,9206,Pave,AllPub,1Fam,6,5,Gd,1985,Gd,TA,741.0,GasA,977,755,2.0,TA,178000.0
103,90,RL,7018,Pave,AllPub,Duplex,5,5,,1979,TA,Fa,0.0,GasA,1535,0,2.0,TA,118964.0
104,20,RL,10402,Pave,AllPub,1Fam,7,5,Gd,2009,TA,TA,1226.0,GasA,1226,0,3.0,TA,198900.0
105,50,RM,7758,Pave,AllPub,1Fam,7,4,TA,1931,TA,Fa,1040.0,GasA,1226,592,1.0,TA,169500.0
106,60,FV,9375,Pave,AllPub,1Fam,8,5,Ex,2003,Gd,TA,1053.0,GasA,1053,939,2.0,TA,250000.0
107,30,RM,10800,Pave,AllPub,1Fam,4,7,Fa,1885,TA,TA,641.0,GasA,1047,0,1.0,Fa,100000.0
108,20,RM,6000,Pave,AllPub,1Fam,5,5,TA,1948,TA,TA,789.0,GasA,789,0,1.0,TA,115000.0
109,50,RM,8500,Pave,AllPub,1Fam,5,7,TA,1919,TA,TA,793.0,GasW,997,520,0.0,,115000.0
110,20,RL,11751,Pave,AllPub,1Fam,6,6,Gd,1977,TA,TA,1844.0,GasA,1844,0,2.0,TA,190000.0
111,50,RL,9525,Pave,AllPub,1Fam,6,4,TA,1954,TA,TA,994.0,GasA,1216,639,1.0,TA,136900.0
112,80,RL,7750,Pave,AllPub,1Fam,7,5,Gd,2000,TA,TA,384.0,GasA,774,656,2.0,TA,180000.0
113,60,RL,9965,Pave,AllPub,1Fam,7,5,Ex,2007,Gd,TA,1264.0,GasA,1282,1414,3.0,TA,383970.0
114,20,RL,21000,Pave,AllPub,1Fam,6,5,Gd,1953,TA,Gd,1809.0,GasA,2259,0,2.0,TA,217000.0
115,70,RL,7259,Pave,AllPub,1Fam,6,8,TA,1945,TA,TA,1028.0,GasA,1436,884,1.0,TA,259500.0
116,160,FV,3230,Pave,AllPub,TwnhsE,6,5,Gd,1999,TA,TA,729.0,GasA,729,729,2.0,TA,176000.0
117,20,RL,11616,Pave,AllPub,1Fam,5,5,TA,1962,TA,TA,1092.0,GasA,1092,0,1.0,TA,139000.0
118,20,RL,8536,Pave,AllPub,1Fam,5,5,Gd,2006,TA,TA,1125.0,GasA,1125,0,2.0,TA,155000.0
119,60,RL,12376,Pave,AllPub,1Fam,7,5,Gd,1990,TA,TA,1673.0,GasA,1699,1523,3.0,TA,320000.0
120,60,RL,8461,Pave,AllPub,1Fam,6,5,Gd,2005,Gd,TA,728.0,GasA,728,728,2.0,TA,163990.0
121,80,RL,21453,Pave,AllPub,1Fam,6,5,TA,1969,TA,TA,938.0,GasA,988,0,2.0,TA,180000.0
122,50,RM,6060,Pave,AllPub,1Fam,4,5,TA,1939,TA,TA,732.0,GasA,772,351,1.0,TA,100000.0
123,20,RL,9464,Pave,AllPub,1Fam,6,7,TA,1958,TA,Gd,1080.0,GasA,1080,0,1.0,TA,136000.0
124,120,RL,7892,Pave,AllPub,TwnhsE,6,5,Gd,1993,Gd,TA,1199.0,GasA,1199,0,2.0,TA,153900.0
125,20,RL,17043,Pave,AllPub,1Fam,6,5,Gd,1979,TA,Gd,1362.0,GasA,1586,0,2.0,TA,181000.0
126,190,RM,6780,Pave,AllPub,2fmCon,6,8,TA,1935,TA,Fa,520.0,GasA,520,0,0.0,,84500.0
127,120,RL,4928,Pave,AllPub,TwnhsE,6,5,Gd,1976,TA,TA,1078.0,GasA,958,0,2.0,TA,128000.0
128,45,RM,4388,Pave,AllPub,1Fam,5,7,TA,1930,TA,Gd,672.0,GasA,840,0,0.0,,87000.0
129,60,RL,7590,Pave,AllPub,1Fam,6,5,TA,1966,TA,TA,660.0,GasA,660,688,2.0,TA,155000.0
130,20,RL,8973,Pave,AllPub,1Fam,5,7,TA,1958,TA,TA,1008.0,GasA,1053,0,2.0,TA,150000.0
131,60,RL,14200,Pave,AllPub,1Fam,7,6,TA,1966,TA,TA,924.0,GasA,1216,941,2.0,TA,226000.0
132,60,RL,12224,Pave,AllPub,1Fam,6,5,Gd,2000,Gd,TA,992.0,GasA,1022,1032,2.0,TA,244000.0
133,20,RL,7388,Pave,AllPub,1Fam,5,6,TA,1959,TA,TA,1063.0,GasA,1327,0,2.0,TA,150750.0
134,20,RL,6853,Pave,AllPub,1Fam,8,5,Ex,2001,Gd,TA,1267.0,GasA,1296,0,2.0,TA,220000.0
135,20,RL,10335,Pave,AllPub,1Fam,5,6,TA,1968,TA,TA,1461.0,GasA,1721,0,2.0,TA,180000.0
136,20,RL,10400,Pave,AllPub,1Fam,7,6,TA,1970,TA,TA,1304.0,GasA,1682,0,2.0,TA,174000.0
137,20,RL,10355,Pave,AllPub,1Fam,5,5,TA,1967,TA,TA,1214.0,GasA,1214,0,1.0,TA,143000.0
138,90,RL,11070,Pave,AllPub,Duplex,7,5,TA,1988,TA,TA,1907.0,GasA,1959,0,3.0,TA,171000.0
139,60,RL,9066,Pave,AllPub,1Fam,8,5,Gd,1999,Gd,TA,1004.0,GasA,1004,848,3.0,TA,230000.0
140,60,RL,15426,Pave,AllPub,1Fam,6,5,Gd,1997,TA,TA,928.0,GasA,928,836,2.0,TA,231500.0
141,20,RL,10500,Pave,AllPub,1Fam,4,5,TA,1971,TA,TA,864.0,GasA,864,0,0.0,,115000.0
142,20,RL,11645,Pave,AllPub,1Fam,7,5,Gd,2005,Gd,TA,1734.0,GasA,1734,0,2.0,TA,260000.0
143,50,RL,8520,Pave,AllPub,1Fam,5,4,TA,1952,TA,Fa,910.0,GasA,910,475,2.0,TA,166000.0
144,20,RL,10335,Pave,AllPub,1Fam,7,5,Gd,1999,Gd,TA,1490.0,GasA,1501,0,2.0,TA,204000.0
145,90,RM,9100,Pave,AllPub,Duplex,5,5,TA,1963,TA,TA,1728.0,GasA,1728,0,2.0,TA,125000.0
146,160,RM,2522,Pave,AllPub,Twnhs,6,5,Gd,2004,Gd,TA,970.0,GasA,970,739,2.0,TA,130000.0
147,30,RM,6120,Pave,AllPub,1Fam,5,7,TA,1931,TA,TA,715.0,GasA,875,0,1.0,TA,105000.0
148,60,RL,9505,Pave,AllPub,1Fam,7,5,Gd,2001,Gd,TA,884.0,GasA,884,1151,2.0,TA,222500.0
149,20,RL,7500,Pave,AllPub,1Fam,7,5,Gd,2004,TA,TA,1080.0,GasA,1080,0,0.0,,141000.0
150,50,RM,6240,Pave,AllPub,1Fam,5,4,Gd,1936,TA,TA,896.0,GasA,896,448,1.0,TA,115000.0
151,20,RL,10356,Pave,AllPub,1Fam,5,6,TA,1975,TA,TA,969.0,GasA,969,0,2.0,TA,122000.0
152,20,RL,13891,Pave,AllPub,1Fam,8,5,Ex,2007,Gd,TA,1710.0,GasA,1710,0,3.0,TA,372402.0
153,60,RL,14803,Pave,AllPub,1Fam,6,5,TA,1971,TA,TA,825.0,GasA,1097,896,2.0,TA,190000.0
154,20,RL,13500,Pave,AllPub,1Fam,6,7,Gd,1960,TA,TA,1602.0,GasA,1252,0,2.0,TA,235000.0
155,30,RM,11340,Pave,AllPub,1Fam,6,5,TA,1923,TA,TA,1200.0,GasA,1200,0,1.0,Fa,125000.0
156,50,RL,9600,Pave,AllPub,1Fam,6,5,TA,1924,TA,TA,572.0,Grav,572,524,0.0,,79000.0
157,20,RL,7200,Pave,AllPub,1Fam,5,7,,1950,TA,TA,0.0,GasA,1040,0,2.0,TA,109500.0
158,60,RL,12003,Pave,AllPub,1Fam,8,5,Ex,2009,Gd,TA,774.0,GasA,774,1194,3.0,TA,269500.0
159,60,FV,12552,Pave,AllPub,1Fam,7,5,Gd,2004,Gd,TA,991.0,GasA,991,956,2.0,TA,254900.0
160,60,RL,19378,Pave,AllPub,1Fam,7,5,Gd,2005,Gd,TA,1392.0,GasA,1392,1070,2.0,TA,320000.0
161,20,RL,11120,Pave,AllPub,1Fam,6,6,Gd,1984,TA,TA,1232.0,GasA,1232,0,2.0,TA,162500.0
162,60,RL,13688,Pave,AllPub,1Fam,9,5,Ex,2003,Gd,TA,1572.0,GasA,1572,1096,3.0,TA,412500.0
163,20,RL,12182,Pave,AllPub,1Fam,7,5,Gd,2005,Gd,TA,1541.0,GasA,1541,0,2.0,TA,220000.0
164,45,RL,5500,Pave,AllPub,1Fam,4,6,TA,1956,TA,TA,882.0,GasA,882,0,0.0,,103200.0
165,40,RM,5400,Pave,AllPub,1Fam,6,7,TA,1926,TA,Gd,1149.0,GasA,1149,467,1.0,TA,152000.0
166,190,RL,10106,Pave,AllPub,2fmCon,5,7,TA,1940,TA,Gd,644.0,GasA,808,547,0.0,,127500.0
167,20,RL,10708,Pave,AllPub,1Fam,5,5,TA,1955,Gd,TA,1617.0,GasA,1867,0,1.0,TA,190000.0
168,60,RL,10562,Pave,AllPub,1Fam,8,5,Ex,2007,Gd,TA,1582.0,GasA,1610,551,3.0,TA,325624.0
169,60,RL,8244,Pave,AllPub,1Fam,7,5,Gd,2004,Gd,TA,840.0,GasA,840,880,2.0,TA,183500.0
170,20,RL,16669,Pave,AllPub,1Fam,8,6,Gd,1981,Gd,TA,1686.0,GasA,1707,0,2.0,TA,228000.0
171,50,RM,12358,Pave,AllPub,1Fam,5,6,TA,1941,TA,TA,720.0,GasA,854,0,2.0,TA,128500.0
172,20,RL,31770,Pave,AllPub,1Fam,6,5,TA,1960,TA,TA,1080.0,GasA,1656,0,2.0,TA,215000.0
173,160,RL,5306,Pave,AllPub,TwnhsE,7,7,Gd,1987,Gd,Gd,1064.0,GasA,1064,703,2.0,TA,239000.0
174,20,RL,10197,Pave,AllPub,1Fam,6,5,TA,1961,TA,TA,1362.0,GasA,1362,0,2.0,TA,163000.0
175,20,RL,12416,Pave,AllPub,1Fam,6,5,Gd,1986,TA,TA,1606.0,GasA,1651,0,2.0,TA,184000.0
176,20,RL,12615,Pave,AllPub,1Fam,6,7,TA,1950,TA,TA,1202.0,GasA,2158,0,2.0,TA,243000.0
177,60,RL,10029,Pave,AllPub,1Fam,6,5,Gd,1988,Gd,TA,1151.0,GasA,1164,896,2.0,TA,211000.0
178,50,RL,13650,Pave,AllPub,1Fam,5,5,TA,1958,Gd,Gd,1052.0,GasA,1252,668,2.0,TA,172500.0
179,20,RL,17423,Pave,AllPub,1Fam,9,5,Ex,2008,Ex,TA,2216.0,GasA,2234,0,3.0,TA,501837.0
180,30,RM,8520,Pave,AllPub,1Fam,5,6,TA,1923,Gd,TA,968.0,GasA,968,0,2.0,TA,100000.0
181,160,FV,2117,Pave,AllPub,Twnhs,6,5,Gd,2000,Gd,TA,756.0,GasA,769,756,2.0,TA,177000.0
182,70,RL,7588,Pave,AllPub,1Fam,7,6,Fa,1920,TA,TA,793.0,GasA,901,901,1.0,TA,200100.0
183,20,RL,9060,Pave,AllPub,1Fam,5,6,,1957,TA,TA,0.0,GasA,1340,0,1.0,TA,120000.0
184,50,RM,11426,Pave,AllPub,1Fam,7,5,Gd,2003,TA,TA,1362.0,GasA,1362,720,2.0,TA,200000.0
185,50,RL,7438,Pave,AllPub,1Fam,5,8,Fa,1908,TA,TA,504.0,GasA,936,316,2.0,TA,127000.0
186,75,RM,22950,Pave,AllPub,1Fam,10,9,TA,1892,Gd,Gd,1107.0,GasA,1518,1518,3.0,TA,475000.0
187,80,RL,9947,Pave,AllPub,1Fam,7,5,Gd,1990,TA,TA,1188.0,GasA,1217,0,2.0,TA,173000.0
188,50,RL,10410,Pave,AllPub,1Fam,5,7,Fa,1916,TA,TA,660.0,GasA,808,704,1.0,Fa,135000.0
189,90,RL,7018,Pave,AllPub,Duplex,5,5,Gd,1979,TA,TA,1086.0,GasA,1224,0,2.0,TA,153337.0
190,120,RL,4923,Pave,AllPub,TwnhsE,8,5,Ex,2001,Gd,TA,1593.0,GasA,1593,0,2.0,TA,286000.0
191,70,RL,10570,Pave,AllPub,1Fam,8,8,Gd,1932,Gd,TA,853.0,GasA,1549,1178,2.0,TA,315000.0
192,60,RL,7472,Pave,AllPub,1Fam,7,9,TA,1972,TA,TA,725.0,GasA,725,754,2.0,TA,184000.0
193,20,RL,9017,Pave,AllPub,1Fam,7,5,Gd,1999,Gd,TA,1431.0,GasA,1431,0,2.0,TA,192000.0
194,160,RM,2522,Pave,AllPub,Twnhs,7,5,Gd,2004,Gd,TA,970.0,GasA,970,739,2.0,TA,130000.0
195,20,RL,7180,Pave,AllPub,1Fam,5,7,TA,1972,TA,TA,864.0,GasA,864,0,1.0,TA,127000.0
196,160,RL,2280,Pave,AllPub,Twnhs,6,6,Gd,1976,TA,TA,855.0,GasA,855,601,2.0,TA,148500.0
197,20,RL,9416,Pave,AllPub,1Fam,7,5,Ex,2007,Ex,TA,1726.0,GasA,1726,0,3.0,TA,311872.0
198,75,RL,25419,Pave,AllPub,1Fam,8,4,TA,1918,Gd,Gd,1360.0,GasA,1360,1360,2.0,TA,235000.0
199,75,RM,5520,Pave,AllPub,1Fam,6,6,TA,1912,TA,TA,755.0,GasA,929,929,0.0,,104000.0
200,20,RL,9591,Pave,AllPub,1Fam,8,5,Ex,2004,Gd,TA,1713.0,GasA,1713,0,3.0,TA,274900.0
201,20,RM,8546,Pave,AllPub,1Fam,4,5,Gd,2003,TA,TA,1121.0,GasA,1121,0,2.0,TA,140000.0
202,20,RL,10125,Pave,AllPub,1Fam,6,6,TA,1977,TA,TA,1196.0,GasA,1279,0,2.0,TA,171500.0
203,50,RL,7000,Pave,AllPub,1Fam,6,6,Fa,1924,TA,Gd,617.0,GasA,865,445,1.0,TA,112000.0
204,120,RM,4438,Pave,AllPub,TwnhsE,6,5,Gd,2004,Gd,TA,848.0,GasA,848,0,2.0,TA,149000.0
205,50,RM,3500,Pave,AllPub,1Fam,5,7,TA,1947,TA,TA,720.0,GasA,720,564,1.0,TA,110000.0
206,20,RL,11851,Pave,AllPub,1Fam,7,5,Gd,1990,TA,TA,1424.0,GasA,1442,0,2.0,TA,180500.0
207,20,RL,13673,Pave,AllPub,1Fam,5,5,TA,1962,TA,Gd,1140.0,GasA,1696,0,1.0,TA,143900.0
